Member_number,Recency,Frequency,Monetary
1000,35,13,53.8
1001,242,12,100.0
1002,122,8,70.3
1003,323,8,60.65
1004,28,21,204.96
1006,199,15,182.94
1008,88,12,155.9
1009,86,9,48.75
1010,152,12,89.36
1011,21,13,89.8
1012,41,11,75.86
1013,89,19,186.75
1014,88,10,75.1
1015,240,7,71.4
1016,86,11,104.7
1017,91,11,75.49
1018,221,8,94.6
1019,385,2,73.5
1020,78,10,73.84
1021,53,8,53.4
1022,571,6,117.5
1023,185,17,182.0
1024,142,4,58.2
1025,133,6,42.62
1026,216,16,111.95
1027,227,9,129.7
1028,172,13,107.6
1029,291,2,16.35
1031,76,7,64.6
1032,129,16,96.46
1033,198,12,91.3
1034,596,9,83.05
1035,113,14,69.9
1037,14,10,58.44
1038,16,19,214.2
1039,213,2,2.7
1040,34,11,48.1
1041,272,10,113.75
1042,75,6,35.75
1043,354,8,94.69
1044,66,4,25.4
1045,35,8,98.9
1046,189,4,16.7
1047,143,6,51.6
1048,73,6,23.8
1049,116,8,62.3
1050,240,14,124.6
1051,50,20,207.36
1053,174,12,80.7
1054,70,9,43.9
1055,219,6,75.7
1056,51,6,58.2
1057,570,8,32.15
1058,50,8,38.9
1059,564,5,16.8
1061,116,14,149.1
1062,103,16,129.32
1063,341,4,8.1
1064,158,7,59.1
1066,566,6,19.92
1067,163,8,112.3
1068,182,4,20.7
1069,132,10,90.45
1070,420,4,66.4
1071,460,3,17.1
1072,68,4,50.7
1073,27,12,109.8
1074,75,10,71.96
1075,41,11,80.3
1076,77,13,87.9
1077,109,14,50.9
1078,63,7,50.0
1079,112,6,89.1
1080,230,5,17.8
1081,241,16,138.6
1082,596,5,65.8
1083,327,7,102.7
1085,137,7,31.74
1086,2,14,94.4
1087,138,21,193.82
1088,30,9,58.75
1089,390,2,9.3
1092,82,20,104.31
1093,277,2,3.65
1094,113,20,149.79
1095,61,8,57.76
1096,155,2,15.3
1097,59,17,106.48
1099,139,6,39.7
1100,293,10,88.3
1101,367,7,52.0
1102,186,10,73.7
1103,403,10,87.1
1104,64,10,40.25
1105,222,6,34.8
1107,90,20,129.38
1108,153,12,94.06
1109,268,12,93.9
1110,40,18,155.9
1111,40,11,53.3
1112,265,4,26.36
1113,147,11,74.65
1114,173,16,121.12
1115,342,8,68.5
1117,220,3,34.6
1118,5,18,173.4
1119,329,2,22.4
1120,95,17,144.39
1122,9,6,33.0
1123,48,11,73.6
1124,494,4,15.9
1125,41,11,67.56
1126,227,9,124.2
1127,76,12,85.16
1128,178,10,67.25
1129,374,13,179.64
1130,103,11,94.95
1132,99,9,24.64
1133,149,12,143.82
1134,391,7,48.4
1135,173,9,40.97
1136,57,19,209.06
1137,95,6,17.6
1138,119,6,53.3
1139,345,9,72.8
1140,187,8,66.7
1141,380,9,80.8
1142,200,8,81.0
1143,249,12,54.5
1144,76,16,133.25
1145,84,6,34.6
1146,109,20,157.52
1147,409,6,49.2
1148,94,19,118.76
1149,18,7,34.6
1150,26,10,54.4
1151,104,5,68.8
1152,164,8,83.05
1153,22,17,101.5
1154,227,9,35.2
1155,3,8,89.3
1156,108,2,24.0
1157,452,7,136.9
1158,74,11,49.1
1159,199,6,25.45
1160,40,15,118.51
1161,291,7,78.3
1162,146,12,113.5
1163,16,9,54.1
1164,275,5,31.1
1165,1,9,136.2
1166,575,4,29.1
1167,317,4,23.5
1168,299,9,86.6
1170,29,20,184.44
1171,239,10,75.3
1173,69,9,36.5
1174,322,11,59.9
1176,135,14,96.65
1177,77,4,10.45
1178,45,11,114.24
1179,475,5,112.6
1180,493,4,9.9
1181,44,8,38.2
1182,31,16,199.82
1183,184,16,97.6
1184,197,5,43.5
1185,128,10,108.9
1186,248,9,51.83
1187,18,7,14.77
1188,355,8,69.7
1189,544,4,30.55
1190,64,17,161.1
1191,144,6,100.6
1192,355,5,28.4
1193,48,4,22.56
1194,231,9,73.2
1195,56,6,64.06
1196,33,8,34.42
1197,38,18,153.6
1198,333,7,167.9
1199,20,13,57.5
1200,95,8,26.05
1201,401,4,34.8
1202,161,10,61.6
1204,160,16,142.1
1205,291,10,69.1
1206,229,14,96.6
1207,46,8,62.06
1208,14,11,171.46
1209,414,9,121.29
1211,220,16,107.75
1212,152,8,68.4
1213,107,11,94.6
1214,354,6,58.9
1215,346,9,76.71
1216,127,14,183.2
1217,315,8,68.6
1218,1,20,194.2
1219,454,4,32.6
1220,1,16,182.45
1221,410,2,1.7
1222,97,4,16.8
1223,30,10,61.6
1224,466,4,83.3
1225,224,19,127.0
1226,48,10,84.55
1227,601,2,7.7
1228,310,3,16.6
1229,285,8,146.4
1230,41,13,66.85
1231,64,16,156.0
1232,182,7,33.0
1233,139,19,98.36
1234,40,10,74.44
1235,215,18,153.88
1236,233,5,40.6
1237,265,20,160.8
1238,304,2,27.0
1239,121,16,139.0
1240,260,12,58.64
1241,222,11,156.22
1242,16,17,125.11
1244,400,8,39.02
1245,26,19,167.71
1246,366,8,57.4
1247,452,4,17.4
1248,15,16,166.65
1249,445,5,62.8
1250,448,2,1.3
1251,34,3,6.6
1252,261,10,104.9
1253,193,6,51.94
1254,255,5,115.0
1255,460,2,26.8
1256,123,12,99.65
1257,470,4,20.0
1258,508,6,50.9
1260,452,4,48.74
1261,223,8,47.05
1262,526,6,46.6
1263,437,4,39.8
1264,23,17,145.0
1266,490,2,10.8
1267,594,2,15.0
1268,437,9,57.8
1269,91,14,123.62
1270,249,6,67.06
1272,521,2,28.8
1273,240,4,24.6
1274,538,7,63.88
1276,37,13,101.5
1277,29,15,108.21
1278,21,15,95.2
1279,111,17,112.9
1280,140,8,47.1
1281,211,9,91.9
1282,42,10,40.7
1283,47,16,144.7
1284,485,4,25.6
1285,162,14,107.4
1286,140,16,124.45
1287,124,17,180.92
1288,458,7,92.68
1289,52,11,125.9
1290,99,13,107.5
1291,285,12,55.0
1292,67,4,22.7
1293,65,11,93.46
1294,373,12,120.4
1295,160,8,62.35
1296,37,17,154.34
1297,382,9,108.15
1298,156,7,60.8
1299,210,8,23.1
1300,482,2,21.0
1301,57,7,54.0
1302,92,10,56.96
1303,113,14,82.0
